profile_id,snap_ratio,tracking_consistency,rotation_smoothness,cps,distance,label,description
profile-00000,0,0,071,0,011,4,1,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00001,0,017,0,094,0,04,11,2,3,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00002,0,034,0,117,0,069,18,3,6,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00003,0,051,0,14,0,098,25,4,9,cheat_like,high lock consistency with accelerated correction and combat pressure signature
profile-00004,0,068,0,163,0,127,9,6,2,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00005,0,085,0,186,0,156,16,1,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00006,0,102,0,209,0,185,23,2,3,cheat_like,high lock consistency with accelerated correction and combat pressure signature
profile-00007,0,119,0,232,0,214,7,3,6,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00008,0,136,0,255,0,243,14,4,9,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00009,0,153,0,278,0,272,21,6,2,cheat_like,high lock consistency with accelerated correction and combat pressure signature
profile-00010,0,17,0,301,0,301,5,1,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00011,0,187,0,324,0,33,12,2,3,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00012,0,204,0,347,0,359,19,3,6,cheat_like,high lock consistency with accelerated correction and combat pressure signature
profile-00013,0,221,0,37,0,388,26,4,9,cheat_like,high lock consistency with accelerated correction and combat pressure signature
profile-00014,0,238,0,393,0,417,10,6,2,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00015,0,255,0,416,0,446,17,1,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00016,0,272,0,439,0,475,24,2,3,cheat_like,high lock consistency with accelerated correction and combat pressure signature
profile-00017,0,289,0,462,0,504,8,3,6,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00018,0,306,0,485,0,533,15,4,9,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00019,0,323,0,508,0,562,22,6,2,cheat_like,high lock consistency with accelerated correction and combat pressure signature
profile-00020,0,34,0,531,0,591,6,1,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00021,0,357,0,554,0,62,13,2,3,legit_like,organic mouse movement with humanized correction variance and natural combat pacing
profile-00022,0,374,0,577,0,649,20,3,6,cheat_like,high lock consistency with accelerated correction and combat pressure signature
